<?xml version="1.0" encoding="utf-8"?>
<!--SpecialEffect type:对应SpecialEffect表里的索引 bufferCount:预加载数量0为最大敌人数-->
<TeamSpecialAttribute>
	<Talent>
		<!--line 1-->
		<Attribute index = "0" name = "Reinforcement" iconFileName = "name016_l" damage = "0.02,0.04,0.06,0.08,0.1" description = "[46beff]Increases damage for all team members.[-] {*}Rank 1:+2% damage. {#}Rank 2:+4% damage. {#}Rank 3:+6% damage. {#}Rank 4:+8% damage. {#}Rank 5:+10% damage."><!--强壮-->
			<!--SpecialEffect type = "0" bufferCount = "1" /-->
		</Attribute>
		<Attribute index = "1" name = "Urgent Treatment" iconFileName = "name036_l" frequency = "2" hpPercent = "0.01,0.015,0.02,0.025,0.03" description = "[46beff]All team members regenerate Life.[-] {*}Rank 1:+1% life per 2 secs. {#}Rank 2:+1.5% life per 2 secs. {#}Rank 3:+2% life per 2 secs. {#}Rank 4:+2.5% life per 2 secs. {#}Rank 5:+3% life per 2 secs[-]"><!--复苏-->
		</Attribute>
		<Attribute index = "2" name = "Special Training" iconFileName = "name031_l" hpMaxPercent = "0.05,0.1,0.15,0.2,0.25" description = "[46beff]Increases max Life of all team members.[-] {*}Rank 1:+5% max life. {#}Rank 2:+10% max life. {#}Rank 3:+15% max life. {#}Rank 4:+20% max life. {#}Rank 5:+25% max life.[-]"><!--特训-->
		</Attribute>
		<Attribute index = "3" name = "Armsmaster" iconFileName = "name026_l" clipPercent = "0.2,0.4,0.6,0.8,1" cdPercent = "0.05,0.1,0.15,0.2,0.25" description = "Increase the clip for all weapons and reduce the time for reloading.[-] {*}Rank 1:+20% ammo,-5% reloading time. {#}Rank 2:+40% ammo,-10% reloading time. {#}Rank 3:+60% ammo,-15% reloading time. {#}Rank 4:+80% ammo,-20% reloading time. {#}Rank 5:+100% ammo,-25% reloading time.[-]"><!--武器大师-->
		</Attribute>
		<Attribute index = "4" name = "Biobomb" iconFileName = "name046_l" proBomb = "5,10,15,20,25" description = "[46beff]Enemies' corpses have a chance to explode, causing additional damage to nearby enemies. Applies to all team members.[-] {*}Rank 1:+5% chance. {#}Rank 2:+10% chance. {#}Rank 3:+15% chance. {#}Rank 4:+20% chance. {#}Rank 5:+25% chance.[-]"><!--尸爆-生体炸弹-->
		</Attribute>
		<!--line 2-->
		<Attribute index = "5" name = "Linked Lives" iconFileName = "name017_l" proShareDamage = "4,8,12,16,20" description = "[46beff]Every time a team member takes damage, there's a chance to equally share the amount of damage taken among all team members.[-] {*}Rank 1:+4% chance. {#}Rank 2:+8% chance. {#}Rank 3:+12% chance. {#}Rank 4:+16% chance. {#}Rank 5:+20% chance.[-]"><!--生命连接-->
		</Attribute>
		<Attribute index = "6" name = "Living Cells" iconFileName = "name038_l" proResHp = "2,4,6,8,10" resHpPercent = "0.1" description = "[46beff]When any of your team members takes damage, he has a chance to restore 10% of max Life.[-] {*}Rank 1:2% chance. {#}Rank 2:+4% chance. {#}Rank 3:+6% chance. {#}Rank 4:+8% chance. {#}Rank 5:+10% chance.[-]"><!--活体细胞-->
		</Attribute>
		<Attribute index = "7" name = "Mania" iconFileName = "name020_l" proCrit = "3,6,9,12,15" critDamagePercent = "0.1,0.2,0.3,0.4,0.5" description = "[46beff]Increases crit chance and crit damage for all team members.[-] {*}Rank 1:+3% crit chance,+10% crit damage. {#}Rank 2:+6% crit chance,+20% crit damage. {#}Rank 3:+9% crit chance,+30% crit damage. {#}Rank 4:+12% crit chance,+40% crit damage. {#}Rank 5:+15% crit chance,+50% crit damage.[-]"><!--狂躁-->
		</Attribute>
		<Attribute index = "8" name = "Volatile Bomb" iconFileName = "name021_l" proBomb = "3,6,9,12,15" stunTime = "1.5,1.5,1.5,1.5,1.5" description = "[46beff]Every time a team member is hit, there's a chance to cause an explosion around the attacker, knocking it back 3 meters.[-] {*}Rank 1:+3% chance. {#}Rank 2:+6% chance. {#}Rank 3:+9% chance. {#}Rank 4:+12% chance. {#}Rank 5:+15% chance.[-]"><!--炸弹-->
		</Attribute>
		<Attribute index = "9" name = "Force Field" iconFileName = "name044_l" proReduceDamage = "4,8,12,16,20" reduceDamagePercent = "0.5" description = "[46beff]When any of your team members is hit, he has a chance to reduce damage taken by 50%.[-] {*}Rank 1:+2% chance. {#}Rank 2:+4% chance. {#}Rank 3:+8% chance. {#}Rank 4:+12% chance. {#}Rank 5:+16% chance.[-]"><!--AT力场-->
		</Attribute>
		<!--line 3-->
		<Attribute index = "10" name = "Team Leader" iconFileName = "name039_l" reduceDamagePercent = "0.06,0.12,0.18,0.24,0.3" description = "[46beff]Reduce extra damage suffered by team members.[-] {*}Rank 1:-6% damage. {#}Rank 2:-12% damage. {#}Rank 3:-18% damage. {#}Rank 4:-24% damage. {#}Rank 5:-30% damage.[-]"><!--祈祷-->
		</Attribute>
		<Attribute index = "11" name = "Prolonged Firepower" iconFileName = "name024_l" skillEmplacementTimePercent = "0.2,0.4,0.6,0.8,1" description = "[46beff]Summoned Cannon lasts longer.[-] {*}Rank 1:+20%. {#}Rank 2:+40%. {#}Rank 3:+60%. {#}Rank 4:+80%. {#}Rank 5:+100%.[-]"><!--弹药填充-->
		</Attribute>
		<Attribute index = "12" name = "Nanotech" iconFileName = "name027_l" reduceDebuffPercent = "0.06,0.12,0.18,0.24,0.30" description = "[46beff]Increases max Life of all team members.[-] {*}Rank 1:+5% max life. {#}Rank 2:+10% max life. {#}Rank 3:+15% max life. {#}Rank 4:+20% max life. {#}Rank 5:+25% max life.[-]"><!--纳米服-->
		</Attribute>
		<Attribute index = "13" name = "Sealing Technique" iconFileName = "name030_l" proCd = "2,4,6,8,10" description = "[46beff]Your team members' attacks have a chance to cause enemies' skills to start cooling down.[-] {*}Rank 1:+2% chance. {#}Rank 2:+4% chance. {#}Rank 3:+6% chance. {#}Rank 4:+8% chance. {#}Rank 5:+10% chance.[-]"><!--封印-->
		</Attribute>
		<Attribute index = "14" name = "Stun" iconFileName = "name034_l" proStun = "3,6,9,12,15" stunTime = "2" description = "[46beff]All team members' attacks have a chance to stun enemies for 2 sec.[-] {*}Rank 1:+3% chance. {#}Rank 2:+6% chance. {#}Rank 3:+9% chance. {#}Rank 4:+12% chance. {#}Rank 5:+15% chance.[-]"><!--击晕-->
		</Attribute>
		<!--line 4-->
		<Attribute index = "15" name = "Frostbite" iconFileName = "name033_l" proReduceMoveSpeedAndAttack = "4,8,12,16,20" reduceMoveSpeedAndAttackPercent = "0.5" time = "3" description = "[46beff]All team members' attacks have a {0}% chance to slow enemies' movement speed and attack speed by 50% for 3 sec.[-] {*}Rank 1:+4% chance. {#}Rank 2:+8% chance. {#}Rank 3:+12% chance. {#}Rank 4:+16% chance. {#}Rank 5:+20% chance.[-]"><!--急冻-->
		</Attribute>
		<Attribute index = "16" name = "Splash" iconFileName = "name047_l" probability  = "2,4,6,8,10" description = "[46beff]Your team members' attacks have a chance to cause splash damage to nearby enemies.[-] {*}Rank 1:+2% chance. {#}Rank 2:+4% chance. {#}Rank 3:+6% chance. {#}Rank 4:+8% chance. {#}Rank 5:+10% chance.[-]"><!--引爆-->
		</Attribute>
		<Attribute index = "17" name = "Shadow Walk" iconFileName = "name041_l" proDodge = "3,6,9,12,15" description = "[46beff]Increases Dodge for all team members.[-] {*}Rank 1:+3%. {#}Rank 2:+6%. {#}Rank 3:+9%. {#}Rank 4:+12%. {#}Rank 5:+15%.[-]"><!--影分身-->
		</Attribute>
		<Attribute index = "18" name = "Aimed Shot" iconFileName = "name028_l" proIgnoreDefence = "3,6,9,12,15" description = "[46beff]All team members' attacks have a chance to ignore enemies' armor.[-] {*}Rank 1:+3% chance. {#}Rank 2:+6% chance. {#}Rank 3:+9% chance. {#}Rank 4:+12% chance. {#}Rank 5:+15% chance.[-]"><!--瞄准射击-->
		</Attribute>
		<Attribute index = "19" name = "Resolve" iconFileName = "name043_l" hpReducePercent = "0.01" attackPercent = "0.005,0.01,0.015,0.02,0.025" description = "[46beff]When any of your team members' Life is below 1%, increases his damage.[-] {*}Rank 1:+0.5% damage. {#}Rank 2:+1% damage. {#}Rank 3:+1.5% damage. {#}Rank 4:+2% damage. {#}Rank 5:+2.5% damage.[-]"><!--入定-->
		</Attribute>
		<!--line 5-->
		<Attribute index = "20" name = "Fake Death" iconFileName = "name025_l" proAvoidDead = "4,8,12,16,20" resHpPercent = "0.1" description = "[46beff]All team members have a chance to avoid one-shot attacks. Once triggered, immediately restores 10% of max Life.[-] {*}Rank 1:+4% chance. {#}Rank 2:+8% chance. {#}Rank 3:+12% chance. {#}Rank 4:+16% chance. {#}Rank 5:+20% chance.[-]"><!--死里逃生-->
		</Attribute>
        <Attribute index = "21" name = "Relentless Rage" iconFileName = "name022_l" attackPercent = "0.005,0.010,0.015,0.020,0.025" proCrit = "0.005,0.010,0.015,0.020,0.025" description = "[46beff]Increases max Life of all team members.[-] {*}Rank 1:+5% max life. {#}Rank 2:+10% max life. {#}Rank 3:+15% max life. {#}Rank 4:+20% max life. {#}Rank 5:+25% max life.[-]"><!--宣泄-->
		</Attribute>
		<Attribute index = "22" name = "Vampire" iconFileName = "name037_l" proResHp = "2,4,6,8,10" resHpPercent = "0.1" description = "[46beff]All team members' attacks have a chance to restore 10% of damage dealt as Life.[-] {*}Rank 1:+2% chance. {#}Rank 2:+4% chance. {#}Rank 3:+6% chance. {#}Rank 4:+8% chance. {#}Rank 5:+10% chance.[-]"><!--血蝙蝠-->
		</Attribute>
